TimeGenerated,IoC,IoC_Type,Tags,Threat_Type,Status,itype
2023-03-13T13:41:58.065Z,180.162.231.210,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:57.837Z,90.55.105.42,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:57.821Z,31.104.18.253,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:57.756Z,64.237.245.195,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-13T13:41:57.696Z,92.20.204.198,ip,"[""39778"", ""#qakbot"", ""[IR-2][PIR-1]"", ""https://twitter.com/pr0xylife/status/1635272138323288067"", ""Pinkslipbot"", ""pr0xylife"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-12T16:10:41.506Z,37.44.238.191,ip,"[""abuse_ch"", ""atr-shodan-enrichment"", ""Bashlite"", ""elf.bashlite"", ""Gafgyt"", ""gayfgt"", ""host-vulnerabilities:CVE-2018-1312,CVE-2022-22721,CVE-2017-15715,CVE-2022-31813,CVE-2021-40438,CVE-2022-23943,CVE-2022-22720,CVE-2021-44790,CVE-2021-26691,CVE-2019-10082,CVE-2021-44224,CVE-2021-39275,CVE-2022-28615"", ""hostnames:ssd1-1243.9051"", ""https://bazaar.abuse.ch/sample/0bdafdd65d9a1a0ed59745a8ef6f6fc0a0f6262c495547c3e45e203921dcc2f2/"", ""lizkebab"", ""port:45"", ""qbot"", ""shodan-scan-time:2023-03-07T08:52:57"", ""Threatfox"", ""torlus""]",c2,active,c2_ip
2023-03-11T12:15:23.104Z,78.218.230.28,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-11T00:05:11.267Z,151.48.158.236,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-10T23:25:12.071Z,202.187.95.12,ip,"[""hostname:null"", ""malware:QakBot"", ""port:995""]",c2,active,c2_ip
2023-03-10T23:25:12.042Z,115.87.227.49,ip,"[""hostname:ppp-115-87-227-49.revip4.asianet.co.th"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-10T21:40:14.201Z,149.255.35.153,ip,"[""39778"", ""#qakbot"", ""#qbot"", ""[IR-2][PIR-1]"", ""executemalware"", ""https://twitter.com/executemalware/status/1634304669714456580"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-10T21:40:13.644Z,85.239.52.56,ip,"[""39778"", ""#qakbot"", ""#qbot"", ""[IR-2][PIR-1]"", ""executemalware"", ""https://twitter.com/executemalware/status/1634304669714456580"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-10T21:40:13.387Z,194.37.97.154,ip,"[""39778"", ""#qakbot"", ""#qbot"", ""[IR-2][PIR-1]"", ""executemalware"", ""https://twitter.com/executemalware/status/1634304669714456580"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-10T21:40:12.487Z,85.239.53.88,ip,"[""39778"", ""#qakbot"", ""#qbot"", ""[IR-2][PIR-1]"", ""executemalware"", ""https://twitter.com/executemalware/status/1634304669714456580"", ""Pinkslipbot"", ""Qbot"", ""QuackBot"", ""soc-39778""]",phish,active,phish_ip
2023-03-10T14:50:05.360Z,92.98.139.2,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-10T05:34:58.972Z,103.123.223.121,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-10T05:34:58.953Z,115.87.227.49,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-10T05:34:58.927Z,202.187.95.12,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-09T23:28:11.093Z,49.175.72.156,ip,"[""Version-QAKBOT""]",c2,active,c2_ip
2023-03-09T23:26:56.311Z,49.175.72.156,ip,"[""hostname:null"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:56.071Z,151.48.158.236,ip,"[""hostname:adsl-ull-236-158.48-151.wind.it"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:55.418Z,190.218.125.145,ip,"[""hostname:cpe-089e0144322f.cpe.cableonda.net"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:55.219Z,69.164.228.175,ip,"[""hostname:null"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:55.051Z,103.123.223.121,ip,"[""hostname:null"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:54.822Z,2.50.50.227,ip,"[""hostname:bba-2-50-50-227.alshamil.net.ae"", ""malware:QakBot"", ""port:443""]",c2,active,c2_ip
2023-03-09T23:26:54.632Z,212.70.107.156,ip,"[""hostname:null"", ""malware:QakBot"", ""port:2222""]",c2,active,c2_ip
